S/N,Date,Country,Rented_Bike_Count,Hour,Temperature,Humidity,Windspeed,Visibility,Dewpoint_Temp,Solar_Radiation,Rainfall,Snowfall,Open,Hit_Sales,Region,Latitude,Longitude
533,12/22/2018,JP,120,4,5.3,79,0.9,2,1.9,0,0,low,Yes,N,South,37.11567858,128.0206498
534,12/22/2018,JP,59,5,5,81,1.2,2,2,0,0,low,Yes,N,South,37.84020446,128.1296433
535,12/22/2018,JP,63,6,5.1,,1.3,2,2.1,0,0,low,Yes,N,South,37.31563781,128.4339903
536,12/22/2018,JP,99,7,5.1,82,0.7,2,2.2,0,0,low,Yes,N,South,37.07808083,127.9145365
537,12/22/2018,JP,188,8,5.1,83,0.9,2,2.4,0,0,low,Yes,N,South,37.70140581,127.995186
538,12/22/2018,JP,239,9,5.2,84,0.7,2,2.7,0.03,0,low,Yes,N,South,37.90451191,127.602448
539,12/22/2018,JP,235,10,5.4,82,1.2,2,2.5,0.13,0,low,Yes,N,South,37.08933529,127.8640843
540,12/22/2018,JP,282,11,5.7,81,1.1,1,2.6,0.18,0,low,Yes,N,South,37.60267385,128.2543897
541,12/22/2018,JP,325,12,7,72,1.9,2,2.2,0.64,0,low,Yes,N,South,37.27960439,127.583757
542,12/22/2018,JP,423,13,7.7,68,1,2,2.1,0.58,0,low,Yes,N,South,37.91296165,127.5013651
543,12/22/2018,JP,405,14,8.6,63,1.6,2,1.9,0.72,0,low,Yes,N,South,37.3611481,127.625663
544,12/22/2018,JP,443,15,8.6,64,1.5,2,2.1,0.57,0,low,Yes,N,South,37.85785327,127.903273
545,12/22/2018,JP,473,16,8.2,64,1,2,1.7,0.32,0,low,Yes,N,South,37.05443922,127.9510001
546,12/22/2018,JP,453,17,7.7,67,0.9,2,1.9,0.11,0,low,Yes,N,South,37.74009398,128.3387495
547,12/22/2018,JP,340,18,6.6,73,0.4,2,2,0,0,low,Yes,N,South,37.24366465,127.8603699
548,12/22/2018,JP,260,19,6,76,1.1,2,2,0,0,low,Yes,N,South,37.46869239,128.2589626
549,12/22/2018,JP,258,20,5.9,75,1.5,2,1.7,0,0,low,Yes,N,South,37.88619077,127.7311241
550,12/22/2018,JP,279,21,5.6,77,0.9,2,1.8,0,0,low,Yes,N,South,37.6922628,128.0919129
551,12/22/2018,JP,282,22,5.3,79,0.6,2,1.9,0,0,low,Yes,N,South,37.84243692,127.8957855
552,12/22/2018,JP,237,23,5.5,80,0.6,1,2.3,0,0,low,Yes,N,South,37.15434469,128.0453662
553,12/23/2018,JP,149,0,-4.4,81,0.7,2,-7.1,0,0,low,Yes,N,South,37.81694884,127.5013155
554,12/23/2018,JP,150,1,-3.7,79,0.9,2,-6.8,0,0,low,Yes,N,South,37.0762229,128.1679274
555,12/23/2018,JP,111,2,-3.5,78,1,2,-6.7,0,0,low,Yes,N,South,37.44884268,127.8814089
556,12/23/2018,JP,79,3,-3.6,78,1.6,2,-6.8,0,0,low,Yes,N,South,37.98996417,127.5815144
557,12/23/2018,JP,48,4,-4,79,1.2,2,-7.1,0,0,low,Yes,N,South,37.41503726,127.8143269
558,12/23/2018,JP,29,5,-4.2,79,1.2,2,-7.3,0,0,low,Yes,N,South,37.29208136,127.9419907
559,12/23/2018,JP,49,6,-4.3,79,1.1,2,-7.4,0,0,low,Yes,N,South,37.01331368,128.0204293
560,12/23/2018,JP,59,7,-4.4,80,1.4,2,-7.3,0,0,low,Yes,N,South,37.68614313,128.2717011
561,12/23/2018,JP,81,8,-3.8,79,0.8,2,-6.9,0,0,low,Yes,N,South,37.58100243,128.1496395
562,12/23/2018,JP,118,9,-3.4,77,1.6,2,-6.8,0.12,0,low,Yes,N,South,37.24960897,127.662934
563,12/23/2018,JP,134,10,-2.1,72,1.7,2,-6.4,0.34,0,low,Yes,N,South,37.11705784,128.2054596
564,12/23/2018,JP,174,11,-0.5,64,0.7,2,-6.4,0.49,0,low,Yes,N,South,37.33121615,128.2203093
565,12/23/2018,JP,226,12,1.2,58,0.8,2,-6.1,0.74,0,low,Yes,N,South,37.83995406,128.3655898
566,12/23/2018,JP,272,13,3,52,1.4,2,-5.9,0.9,0,low,Yes,N,South,37.881266,128.4278492
567,12/23/2018,JP,304,14,3.7,53,0.6,2,-5,0.74,0,low,Yes,N,South,37.50785569,128.3580825
568,12/23/2018,JP,353,15,4.6,50,0.9,3,-4.9,0.62,0,low,Yes,N,South,37.52165337,127.5991369
569,12/23/2018,JP,366,16,5.3,49,1.8,3,-4.5,0.43,0,low,Yes,N,South,37.12962619,128.4855702
570,12/23/2018,JP,302,17,4.5,51,1.1,4,-4.7,0.17,0,low,Yes,N,South,37.12919691,128.4056869
571,12/23/2018,JP,250,18,4.1,53,1.3,3,-4.6,0,0,low,Yes,N,South,37.68951668,127.8310515
572,12/23/2018,JP,208,19,3.9,54,1.1,3,-4.5,0,0,low,Yes,N,South,37.40867304,127.5428923
573,12/23/2018,JP,210,20,3.5,55,1,3,-4.7,0,0,low,Yes,N,South,37.03460886,128.2700324
574,12/23/2018,JP,213,21,3.1,58,0.4,3,-4.3,0,0,low,Yes,N,South,37.15742479,128.4274772
575,12/23/2018,JP,196,22,2.8,60,0.6,3,-4.2,0,0,low,Yes,N,South,37.8457634,127.515851
576,12/23/2018,JP,144,23,2.7,60,0.6,3,-4.3,0,0,low,Yes,N,South,37.00812228,128.0985459
577,12/24/2018,JP,266,0,5.6,78,0.6,1,2,0,0,low,Yes,N,South,37.83087199,127.5425073
578,12/24/2018,JP,251,1,5.6,78,0.5,1,2,0,0,low,Yes,N,South,37.572024,128.1748887
579,12/24/2018,JP,196,2,5.4,80,0.9,1,2.2,0,0,low,Yes,N,South,37.42358545,128.1752735
580,12/24/2018,JP,149,3,5.2,82,0.8,1,2.3,0,0,low,Yes,N,South,37.71441581,128.4081744
581,12/24/2018,JP,79,4,5.2,82,0.7,1,2.3,0,0,low,Yes,N,South,37.48185103,127.8802192
582,12/24/2018,JP,44,5,5.1,82,0.6,1,2.2,0,0,low,Yes,N,South,37.64182315,127.6309249
583,12/24/2018,JP,12,6,4.9,84,1.3,1,2.4,0,0.1,low,Yes,N,South,37.44146248,127.5596513
584,12/24/2018,JP,3,7,4.7,89,1.1,1,3,0,0,low,Yes,N,South,37.33465697,128.4629537
585,12/24/2018,JP,4,8,4.6,91,1.7,1,3.2,0,0,low,Yes,N,South,37.23246228,128.3313859
586,12/24/2018,JP,3,9,4.6,94,0.9,1,3.7,0,6.4,low,Yes,N,South,37.43182775,127.9663287
587,12/24/2018,JP,4,10,4.8,96,0.6,1,4.2,0.04,0,low,Yes,N,South,37.77908025,128.2130449
588,12/24/2018,JP,9,11,4.6,95,0.8,1,3.8,0.05,0,low,Yes,N,South,37.49598067,127.9998172
589,12/24/2018,JP,4,12,4.1,91,0.8,2,2.7,0.07,9.5,low,Yes,N,South,37.70933944,128.2502127
590,12/24/2018,JP,7,13,3.7,90,0.7,3,2.2,0.15,0,low,Yes,N,South,37.98154235,128.0522674
591,12/24/2018,JP,28,14,3.3,90,2.5,2,1.8,0.19,0,low,Yes,N,South,37.03965098,128.271836
592,12/24/2018,JP,38,15,2.9,90,2,2,1.4,0.08,3.5,low,Yes,N,South,37.77489203,128.2180046
593,12/24/2018,JP,54,16,2.3,91,3.3,2,0.9,0.07,0,low,Yes,N,South,37.31732001,127.6329365
594,12/24/2018,JP,104,17,2.2,86,2.6,2,0,0.04,0,low,Yes,N,South,37.28704837,128.4481569
595,12/24/2018,JP,128,18,1.9,82,4.3,2,-0.8,0.01,0.5,low,Yes,N,South,37.50651174,127.673493
596,12/24/2018,JP,132,19,1.1,68,4.4,2,-4.1,0,0,low,Yes,N,South,37.25094367,128.2415369
597,12/24/2018,JP,116,20,0.6,67,3.3,2,-4.8,0,0,low,Yes,N,South,37.8170754,127.9732027
598,12/24/2018,JP,145,21,0.4,69,3.5,2,-4.6,0,0,low,Yes,N,South,37.88581397,127.9127695
599,12/24/2018,JP,110,22,0.2,69,2.7,2,-4.8,0,0,low,Yes,N,South,37.50554649,128.4760522
600,12/24/2018,JP,128,23,0,63,3.2,3,-6.2,0,0,low,Yes,N,South,37.86222789,127.5930606
601,12/25/2018,JP,160,0,-0.6,64,2.4,3,-6.5,0,0,low,Yes,N,South,37.85449339,128.173586
602,12/25/2018,JP,132,1,-1.2,57,4.3,4,-8.6,0,0,low,Yes,N,South,37.43300855,127.6317659
603,12/25/2018,JP,115,2,-1.8,53,4.1,4,-10.1,0,0,low,Yes,N,South,37.1584454,128.3350246
604,12/25/2018,JP,100,3,-2.3,52,3.4,4,-10.8,0,0,low,Yes,N,South,37.56804603,127.6324977
605,12/25/2018,JP,72,4,-3,51,3.2,5,-11.7,0,0,low,Yes,N,South,37.0050795,127.978321
606,12/25/2018,JP,32,5,-3.7,51,2.6,5,-12.3,0,0,low,Yes,N,South,37.56641069,127.5688833
607,12/25/2018,JP,59,6,-4.1,50,3,5,-13,0,0,low,Yes,N,South,37.23704819,128.3874673
608,12/25/2018,JP,61,7,-4.6,46,2.8,5,-14.4,0,0,low,Yes,N,South,37.59219176,127.7559331
609,12/25/2018,JP,94,8,-4.9,44,3,5,-15.3,0,0,low,Yes,N,South,37.91923313,127.6424403
610,12/25/2018,JP,107,9,-4.6,40,3.5,5,-16.1,0.18,0,low,Yes,N,South,37.45809984,127.999521
611,12/25/2018,JP,133,10,-3.7,35,3.7,4,-16.9,0.57,0,low,Yes,N,South,37.21942882,127.7090757
612,12/25/2018,JP,179,11,-2.8,35,2.9,4,-16.1,0.87,0,low,Yes,N,South,37.62645795,128.2724315
613,12/25/2018,JP,221,12,-1.6,33,2.5,4,-15.8,1.18,0,low,Yes,N,South,37.40879169,127.98059
614,12/25/2018,JP,244,13,-1.5,33,3.8,5,-15.7,1.18,0,low,Yes,N,South,37.7540552,127.9241903
615,12/25/2018,JP,274,14,-0.4,31,2,5,-15.5,1.1,0,low,Yes,N,South,37.89994842,127.8213711
616,12/25/2018,JP,319,15,0.4,28,2.5,5,-16,0.9,0,low,Yes,N,South,37.9370673,127.5050126
617,12/25/2018,JP,272,16,0.4,27,2,5,-16.4,0.58,0,low,Yes,N,South,37.37970607,128.453456
618,12/25/2018,JP,260,17,-0.7,29,2,5,-16.5,0.21,0,low,Yes,,South,37.29621815,128.0813721
619,12/25/2018,JP,237,18,-1.6,33,2,5,-15.8,0,0,low,Yes,N,South,37.96385999,128.2935789
620,12/25/2018,JP,184,19,-1.8,41,2.1,5,-13.3,0,0,low,Yes,N,South,37.66427825,128.0884658
621,12/25/2018,JP,181,20,-2.1,49,1.7,5,-11.4,0,0,low,Yes,N,South,37.35628119,128.0587731
622,12/25/2018,JP,185,21,-1.7,51,1.7,5,-10.5,0,0,low,Yes,N,South,37.81652501,127.906981
623,12/25/2018,JP,176,22,-1.3,53,1.7,5,-9.6,0,0,low,Yes,N,South,37.57902109,127.9332328
624,12/25/2018,JP,169,23,-1,55,1.9,5,-8.9,0,0,low,Yes,N,South,37.94313978,127.8867163
625,12/26/2018,JP,178,0,-1.4,58,1,4,-8.6,0,0,low,Yes,N,South,37.32981426,127.6617755
626,12/26/2018,JP,127,1,-1.5,62,1.3,5,-7.8,0,0,low,Yes,N,South,37.49782266,127.6291121
627,12/26/2018,JP,85,2,-2.1,69,1,4,-7,0,0,low,Yes,N,South,37.69786905,128.2296059
628,12/26/2018,JP,72,3,-2.6,70,1,4,-7.3,0,0,low,Yes,N,South,37.70640138,127.9866388
629,12/26/2018,JP,49,4,-2.6,72,1.4,4,-6.9,0,0,low,Yes,N,South,37.16129253,127.7581473
630,12/26/2018,JP,65,5,-2.9,77,0.8,4,-6.3,0,0,low,Yes,N,South,37.06994157,127.8067684
631,12/26/2018,JP,120,6,-2.8,73,0.7,4,-6.9,0,0,low,Yes,N,South,37.19607118,128.1167392
632,12/26/2018,JP,296,7,-2.9,73,1.9,4,-7,0,0,low,Yes,N,South,37.34011671,127.9959638
633,12/26/2018,JP,578,8,-2.7,68,2.2,4,-7.7,0,0,low,Yes,N,South,37.7203816,127.5963643
634,12/26/2018,JP,293,9,-2.8,52,2.9,4,-11.3,0.16,0,low,Yes,N,South,37.37531123,128.2153145
635,12/26/2018,JP,180,10,-2.2,36,4.1,4,-15.2,0.53,0,low,Yes,N,South,37.39033355,127.961862
636,12/26/2018,JP,250,11,-2.1,28,4.9,4,-18.2,0.87,0,low,Yes,N,South,37.52621373,127.8664888
637,12/26/2018,JP,262,12,-1.3,23,4,5,-19.8,1.09,0,low,Yes,N,South,37.55551247,127.8080758
638,12/26/2018,JP,262,13,-2,15,4.7,4,-25.2,1.18,0,low,Yes,N,South,37.2491032,128.4002004
639,12/26/2018,JP,271,14,-1.6,20,4.3,5,-21.6,1.11,0,low,Yes,N,South,37.52603921,128.4635447
640,12/26/2018,JP,246,15,-1.9,17,5,5,-23.7,0.93,0,low,Yes,N,South,37.68519366,128.4399367
641,12/26/2018,JP,282,16,-1.9,17,3.3,5,-23.7,0.61,0,low,Yes,N,South,37.23261844,128.2471208
642,12/26/2018,JP,350,17,-3.6,20,3.7,5,-23.3,0.23,0,low,Yes,N,South,37.66069164,127.668528
643,12/26/2018,JP,481,18,-4.7,23,3.4,5,-22.7,0.01,0,low,Yes,N,South,37.78947021,128.3343947
644,12/26/2018,JP,317,19,-5.4,27,3,5,-21.5,0,0,low,Yes,N,South,37.16394744,127.7584234
645,12/26/2018,JP,252,20,-6.1,32,4.7,5,-20.1,0,0,low,Yes,N,South,37.53934124,128.4034432
646,12/26/2018,JP,220,21,-6.6,39,3.2,5,-18.2,0,0,low,Yes,N,South,37.04988031,128.3299856
647,12/26/2018,JP,213,22,-7.2,38,3.1,5,-19.1,0,0,low,Yes,N,South,37.53095316,127.9203095
648,12/26/2018,JP,156,23,-7.5,37,3.1,5,-19.7,0,0,low,Yes,N,South,37.67573254,127.8016462
649,12/27/2018,JP,133,0,-7.9,37,2.2,5,-20,0,0,low,Yes,N,South,37.80426052,127.9201518
650,12/27/2018,JP,142,1,-8.2,39,1.8,5,-19.7,0,0,low,Yes,N,South,37.34237911,127.5137563
651,12/27/2018,JP,93,2,-8.6,37,1.5,5,-20.7,0,0,low,Yes,N,South,37.68382824,128.2536896
652,12/27/2018,JP,81,3,-9.1,37,1,5,-21.1,0,0,low,Yes,N,South,37.77977299,128.0986759
653,12/27/2018,JP,55,4,-9.1,33,2.3,5,-22.4,0,0,low,Yes,N,South,37.75934243,127.5185649
654,12/27/2018,JP,66,5,-9.4,36,1.9,5,-21.7,0,0,low,Yes,N,South,37.90971227,127.5658436
655,12/27/2018,JP,105,6,-9.8,37,1.7,5,-21.7,0,0,low,Yes,N,South,37.42405604,128.4496701
656,12/27/2018,JP,262,7,-10.1,38,2.3,5,-21.7,0,0,low,Yes,N,South,37.58632629,127.6968933
657,12/27/2018,JP,502,8,-10.2,35,1.8,5,-22.7,0,0,low,Yes,N,South,37.39853974,127.5182327
658,12/27/2018,JP,279,9,-9.8,33,2,4,-23,0.17,0,low,Yes,N,South,37.44738659,127.6237102
659,12/27/2018,JP,146,10,-8.5,29,2.4,4,-23.4,0.56,0,low,Yes,N,South,37.5100737,127.8507526
660,12/27/2018,JP,213,11,-6.8,28,2.1,4,-22.3,0.88,0,low,Yes,N,South,37.82218805,127.6196201
661,12/27/2018,JP,230,12,-5.5,21,2.1,4,-24.4,1.08,0,low,Yes,N,South,37.63489107,127.9014097
662,12/27/2018,JP,258,13,-4.7,18,3.7,5,-25.4,1.16,0,low,Yes,N,South,37.03437425,128.1737878
663,12/27/2018,JP,231,14,-4,18,2.4,5,-24.8,1.09,0,low,Yes,N,South,37.19858834,128.1983336
664,12/27/2018,JP,228,15,-3.1,16,2.2,5,-25.4,0.9,0,low,Yes,N,South,37.29772794,128.3514861
665,12/27/2018,JP,269,16,-3.2,23,2.7,5,-21.4,0.57,0,low,Yes,N,South,37.59350269,128.4464751
666,12/27/2018,JP,314,17,-4.2,26,2.2,5,-20.8,0.2,0,low,Yes,N,South,37.07655452,127.7042822
667,12/27/2018,JP,466,18,-5.2,32,2.2,5,-19.3,0,0,low,Yes,N,South,37.48727891,127.8450513
668,12/27/2018,JP,315,19,-5.5,31,2.1,5,-19.9,0,0,low,Yes,N,South,37.35814983,127.9666584
669,12/27/2018,JP,262,20,-5.9,34,0.9,5,-19.2,0,0,low,Yes,N,South,37.13262576,127.9155552
670,12/27/2018,JP,242,21,-6.4,34,1.2,5,-19.7,0,0,low,Yes,N,South,37.31986715,127.8993413
671,12/27/2018,JP,243,22,-6.4,36,1.3,5,-19,0,0,low,Yes,N,South,37.61535429,128.3555424
672,12/27/2018,JP,216,23,-6.3,39,0.9,5,-18,0,0,low,Yes,N,South,37.60700912,128.1330785
673,12/28/2018,JP,164,0,-6.5,41,1.7,5,-17.6,0,0,low,Yes,N,South,37.23477245,127.8095678
674,12/28/2018,JP,169,1,-6.6,39,1.4,5,-18.2,0,0,low,Yes,N,South,37.78668031,127.933304
675,12/28/2018,JP,163,2,-6.6,34,1.8,5,-19.8,0,0,low,Yes,N,South,37.82519255,128.4163716
676,12/28/2018,JP,86,3,-6,32,2.5,5,-20,0,0,low,Yes,N,South,37.68441039,127.847913
677,12/28/2018,JP,50,4,-5.8,32,1.6,5,-19.8,0,0,low,Yes,N,South,37.36170749,128.4752515
678,12/28/2018,JP,61,5,-5.7,,1.2,5,-21.3,0,0,low,Yes,N,South,37.86268661,128.2585759
679,12/28/2018,JP,103,6,-5.5,24,0.5,5,-22.9,0,0,low,Yes,N,South,37.9602956,128.0159271
680,12/28/2018,JP,257,7,-5,31,0.5,5,-19.5,0,0,low,Yes,N,South,37.39190526,127.626457
681,12/28/2018,JP,554,8,-4.7,30,0.6,5,-19.6,0,0,low,Yes,N,South,37.05862391,128.1234627
682,12/28/2018,JP,326,9,-4.3,38,0.7,4,-16.5,0.04,0,low,Yes,N,South,37.27890529,128.2904742
683,12/28/2018,JP,225,10,-3.4,33,1.3,4,-17.4,0.33,0,low,Yes,N,South,37.43248738,127.5416025
684,12/28/2018,JP,288,11,-2.1,34,1,4,-15.8,0.65,0,low,Yes,N,South,37.44700029,128.2091825
685,12/28/2018,JP,286,12,-0.8,38,1,4,-13.3,0.75,0,low,Yes,N,South,37.14380046,128.2786679
686,12/28/2018,JP,301,13,0.8,46,1.4,4,-9.5,0.8,0,low,Yes,N,South,37.47527677,128.3682764
687,12/28/2018,JP,311,14,0.8,55,1.8,3,-7.2,0.59,0,low,Yes,N,South,37.6827122,128.1389052
688,12/28/2018,JP,303,15,0.4,57,2.4,3,-7.1,0.36,0,low,Yes,N,South,37.08761401,127.9885618
689,12/28/2018,JP,390,16,0.3,57,2.3,4,-7.2,0.19,0,low,Yes,N,South,37.56992617,127.5032309
690,12/28/2018,JP,407,17,0.2,58,2,3,-7.1,0.08,0,low,Yes,N,South,37.06228448,128.1097332
691,12/28/2018,JP,552,18,-0.6,62,1.6,3,-6.9,0,0,low,Yes,N,South,37.09798041,128.0720714
692,12/28/2018,JP,402,19,-0.4,62,0.9,3,-6.8,0,0,low,Yes,N,South,37.63554503,128.1109924
693,12/28/2018,JP,319,20,-0.3,62,1.3,3,-6.7,0,0,low,Yes,N,South,37.28758396,127.9285247
694,12/28/2018,JP,332,21,-0.2,62,0.6,3,-6.6,0,0,low,Yes,N,South,37.84486435,127.747122
695,12/28/2018,JP,285,22,0,63,1.3,3,-6.2,0,0,low,Yes,N,South,37.63638578,127.6860655
696,12/28/2018,JP,260,23,0.1,63,1.1,3,-6.1,0,0,low,Yes,N,South,37.33590632,128.1764705
697,12/29/2018,JP,233,0,0.2,63,0.7,3,-6,0,0,low,Yes,N,South,37.20337823,128.2073416
698,12/29/2018,JP,269,1,0.3,63,0.7,3,-5.9,0,0,low,Yes,N,South,37.58920856,127.8650553
699,12/29/2018,JP,210,2,0.5,63,1,2,-5.7,0,0,low,Yes,N,South,37.15635693,127.6429853
700,12/29/2018,JP,135,3,0.6,64,0.4,3,-5.4,0,0,low,Yes,N,South,37.46834317,128.2712503
701,12/29/2018,JP,85,4,0.6,65,0.4,3,-5.2,0,0,low,Yes,N,South,37.79022871,128.3728553
702,12/29/2018,JP,67,5,0.7,66,0.7,2,-4.9,0,0,low,Yes,N,South,37.85559966,127.720903
703,12/29/2018,JP,128,6,0.8,68,0.6,2,-4.4,0,0,low,Yes,N,South,37.71151345,127.6445571
704,12/29/2018,JP,289,7,0.9,67,0.6,2,-4.5,0,0,low,Yes,N,South,37.69347237,128.0399843
705,12/29/2018,JP,636,8,1,68,0.6,2,-4.2,0,0,low,Yes,N,South,37.7850707,127.6044314
706,12/29/2018,JP,353,9,1.2,67,0.2,2,-4.2,0.06,0,low,Yes,N,South,37.36468559,127.5297728
707,12/29/2018,JP,252,10,1.9,65,0.3,2,-3.9,0.17,0,low,Yes,N,South,37.04000015,128.3677076
708,12/29/2018,JP,317,11,3.1,62,1.1,2,-3.4,0.29,0,low,Yes,N,South,37.31107772,128.1164742
709,12/29/2018,JP,363,12,4.3,62,1.6,2,-2.3,0.52,0,low,Yes,N,South,37.21925279,128.3836701
710,12/29/2018,JP,370,13,5.2,58,2.5,2,-2.4,0.81,0,low,Yes,N,South,37.15390923,127.6026321
711,12/29/2018,JP,419,14,5.7,54,3.5,2,-2.9,0.83,0,low,Yes,N,South,37.27025917,127.7103672
712,12/29/2018,JP,426,15,5.7,53,2.7,2,-3.1,0.65,0,low,Yes,N,South,37.31685344,128.0329046
713,12/29/2018,JP,504,16,5.4,56,2.2,2,-2.6,0.39,0,low,Yes,N,South,37.44875766,127.5029976
714,12/29/2018,JP,534,17,4.5,59,1.6,2,-2.8,0.14,0,low,Yes,N,South,37.27318582,127.8917751
715,12/29/2018,JP,574,18,3.6,62,1.4,2,-3,0.01,0,low,Yes,N,South,37.83001055,127.8770524
716,12/29/2018,JP,395,19,2.7,68,1.2,2,-2.6,0,0,low,Yes,N,South,37.59060772,128.1781627
717,12/29/2018,JP,292,20,1.7,73,0.5,2,-2.6,0,0,low,Yes,N,South,37.66217997,128.0867896
718,12/29/2018,JP,282,21,1,77,1.5,2,-2.5,0,0,low,Yes,N,South,37.5951922,128.1232835
719,12/29/2018,JP,294,22,0.8,77,1.4,2,-2.7,0,0,low,Yes,N,South,37.16390127,127.8070811
720,12/29/2018,JP,236,23,0.3,80,0.8,2,-2.7,0,0,low,Yes,N,South,37.64946669,128.45822
721,12/30/2018,JP,240,0,-0.4,83,1.2,2,-2.9,0,0,low,Yes,N,South,37.90234213,127.5596591
722,12/30/2018,JP,234,1,-0.5,83,0.7,2,-3,0,0,low,Yes,N,South,37.12896431,128.0460191
723,12/30/2018,JP,192,2,-0.9,84,0.6,2,-3.2,0,0,low,Yes,N,South,37.6285169,127.961663
724,12/30/2018,JP,127,3,-1.1,83,0.8,2,-3.6,0,0,low,Yes,N,South,37.45586509,128.3829517
725,12/30/2018,JP,86,4,-1.1,83,0.7,2,-3.6,0,0,low,Yes,N,South,37.19389365,128.3614534
726,12/30/2018,JP,52,5,-1.2,81,0.8,2,-4,0,0,low,Yes,N,South,37.90585207,128.0498619
727,12/30/2018,JP,62,6,-1.1,81,1,2,-3.9,0,0,low,Yes,N,South,37.94826859,128.0233767
728,12/30/2018,JP,88,7,-0.7,79,0.7,2,-3.8,0,0,low,Yes,N,South,37.87825287,128.1334694
729,12/30/2018,JP,162,8,-0.4,78,0.5,2,-3.7,0,0,low,Yes,N,South,37.97584894,127.8867985
730,12/30/2018,JP,224,9,0.2,76,1.3,2,-3.5,0.03,0,low,Yes,N,South,37.42538959,127.9916604
731,12/30/2018,JP,208,10,0.8,73,0.5,2,-3.4,0.15,0,low,Yes,N,South,37.30273417,128.2271226
732,12/30/2018,JP,237,11,2,69,1,2,-3.1,0.32,0,low,Yes,N,South,37.42460387,128.0011306
733,12/30/2018,JP,274,12,3.2,64,0.8,2,-2.9,0.47,0,low,Yes,N,South,37.36180847,127.5844214
734,12/30/2018,JP,333,13,4,62,1,2,-2.6,0.51,0,low,Yes,N,South,37.96646976,128.2744294
735,12/30/2018,JP,356,14,4.3,60,1.2,2,-2.7,0.4,0,low,Yes,N,South,37.24819013,128.0721699
736,12/30/2018,JP,337,15,4.3,61,0.7,2,-2.5,0.23,0,low,Yes,N,South,37.3092258,128.1577892
737,12/30/2018,JP,345,16,4.1,63,0.7,2,-2.3,0.13,0,low,Yes,N,South,37.14946767,128.4380095
738,12/30/2018,JP,183,17,3.8,64,0.9,2,-2.3,0.01,0,low,Yes,N,South,37.17629168,128.4097402
739,12/30/2018,JP,45,18,3,84,1.7,1,0.5,0,0.3,low,Yes,N,South,37.03113692,127.7730086
740,12/30/2018,JP,40,19,2.3,89,0.6,1,0.6,0,0,low,Yes,N,South,37.57192489,128.2702599
741,12/30/2018,JP,66,20,1.9,90,0.9,1,0.4,0,0,low,Yes,N,South,37.21385508,127.9516934
742,12/30/2018,JP,64,21,1.8,92,1.1,1,0.6,0,0.2,low,Yes,N,South,37.57659529,127.7420197
743,12/30/2018,JP,30,22,1.8,92,1.2,1,0.6,0,0,low,Yes,N,South,37.67559378,127.6367106
744,12/30/2018,JP,42,23,1.4,92,1.9,1,0.2,0,0,low,Yes,N,South,37.84566166,127.7228829
745,12/31/2018,JP,43,0,0.9,95,1.8,1,0.1,0,0.2,low,Yes,N,South,37.30170173,128.3892295
746,12/31/2018,JP,43,1,0.5,95,2.1,1,-0.2,0,0,low,Yes,N,South,37.42840796,128.0828983
747,12/31/2018,JP,65,2,0.4,95,1.7,1,-0.3,0,0,low,Yes,N,South,37.93498215,128.3991236
748,12/31/2018,JP,65,3,0.3,91,2,1,-1,0,1,low,Yes,N,South,37.33296298,127.6622223
749,12/31/2018,JP,32,4,-0.2,87,3.5,2,-2.1,0,0,low,Yes,N,South,37.39144042,127.7189817
750,12/31/2018,JP,22,5,-0.8,85,2.8,2,-3,0,0,low,Yes,N,South,37.53535927,128.2349401
751,12/31/2018,JP,25,6,-1.3,84,2.4,2,-3.6,0,0,low,Yes,N,South,37.47140674,128.1866313
752,12/31/2018,JP,39,7,-1.8,86,1.7,2,-3.8,0,0,low,Yes,N,South,37.9895222,127.6485383
753,12/31/2018,JP,84,8,-2.1,86,1.4,2,-4.1,0,0,low,Yes,N,South,37.06111149,128.0164778
754,12/31/2018,JP,103,9,-1.9,82,1.6,2,-4.5,0.15,0,low,Yes,N,South,37.67037384,127.7767385
755,12/31/2018,JP,110,10,-0.5,73,1.7,2,-4.7,0.53,0,low,Yes,N,South,37.12946404,127.832944
756,12/31/2018,JP,142,11,0.8,62,2.8,3,-5.6,0.88,0,low,Yes,N,South,37.29761485,127.5669382
757,12/31/2018,JP,209,12,1.4,47,4.5,4,-8.7,1.1,0,low,Yes,N,South,37.57466475,127.6505467
758,12/31/2018,JP,267,13,2.5,36,3.7,4,-11,1.15,0,low,Yes,N,South,37.77644075,128.1225136
759,12/31/2018,JP,262,14,3,28,3.8,4,-13.7,1.1,0,low,Yes,N,South,37.58641839,127.5466077
760,12/31/2018,JP,300,15,3.1,25,3.9,5,-15,0.9,0,low,Yes,N,South,37.52621134,128.3442254
761,12/31/2018,JP,272,16,2.7,26,2.7,5,-14.9,0.59,0,low,Yes,N,South,37.6053027,127.7324918
762,12/31/2018,JP,240,17,1.7,30,2.9,5,-14,0.22,0,low,Yes,N,South,37.91059247,128.0504752
763,12/31/2018,JP,215,18,0.7,31,2.3,5,-14.5,0.01,0,low,Yes,N,South,37.02331901,128.3543879
764,12/31/2018,JP,163,19,0,31,2.2,5,-15.1,0,0,low,Yes,N,South,37.22978704,127.6729539
765,12/31/2018,JP,161,20,-1,32,0.9,5,-15.6,0,0,low,Yes,N,South,37.51744593,127.9941661
